result_type,id,status,json_endpoint,created_at,processe_at,google_url,raw_html_file,total_time_taken,engine,q,location_requested,location_used,google_domain,device,hl,gl,block_position,position,title,query,price,currency,link,serpapi_link,tracking_link,description,displayed_link,thumbnail,favicon,snippet,snippet_highlighted_words,source
related_searches,,,,,,,,,,,,,,,,,1,,,Instant food online india,,,https://www.google.co.in/search?sca_esv=561590507&hl=en&gl=in&q=Instant+food+online+india&sa=X&ved=2ahUKEwisyaqGzoaBAxW4ElkFHZ19B7E4ggEQ1QJ6BAg0EAE,https://serpapi.com/search.json?device=desktop&engine=google&gl=in&google_domain=google.co.in&hl=en&location=Maharashtra%2C+India&q=Instant+food+online+india&start=130,,,,,,,,
related_searches,,,,,,,,,,,,,,,,,1,,,instant food packets,,,https://www.google.co.in/search?sca_esv=561590507&hl=en&gl=in&q=Instant+food+packets&sa=X&ved=2ahUKEwisyaqGzoaBAxW4ElkFHZ19B7E4ggEQ1QJ6BAgzEAE,https://serpapi.com/search.json?device=desktop&engine=google&gl=in&google_domain=google.co.in&hl=en&location=Maharashtra%2C+India&q=Instant+food+packets&start=130,,,,,,,,
related_searches,,,,,,,,,,,,,,,,,1,,,Best instant food online,,,https://www.google.co.in/search?sca_esv=561590507&hl=en&gl=in&q=Best+instant+food+online&sa=X&ved=2ahUKEwisyaqGzoaBAxW4ElkFHZ19B7E4ggEQ1QJ6BAgyEAE,https://serpapi.com/search.json?device=desktop&engine=google&gl=in&google_domain=google.co.in&hl=en&location=Maharashtra%2C+India&q=Best+instant+food+online&start=130,,,,,,,,
related_searches,,,,,,,,,,,,,,,,,1,,,ready to eat food online,,,https://www.google.co.in/search?sca_esv=561590507&hl=en&gl=in&q=Ready+to+eat+food+online&sa=X&ved=2ahUKEwisyaqGzoaBAxW4ElkFHZ19B7E4ggEQ1QJ6BAgwEAE,https://serpapi.com/search.json?device=desktop&engine=google&gl=in&google_domain=google.co.in&hl=en&location=Maharashtra%2C+India&q=Ready+to+eat+food+online&start=130,,,,,,,,
related_searches,,,,,,,,,,,,,,,,,1,,,instant food items with hot water,,,https://www.google.co.in/search?sca_esv=561590507&hl=en&gl=in&q=Instant+food+items+with+hot+water&sa=X&ved=2ahUKEwisyaqGzoaBAxW4ElkFHZ19B7E4ggEQ1QJ6BAg3EAE,https://serpapi.com/search.json?device=desktop&engine=google&gl=in&google_domain=google.co.in&hl=en&location=Maharashtra%2C+India&q=Instant+food+items+with+hot+water&start=130,,,,,,,,
related_searches,,,,,,,,,,,,,,,,,1,,,instant healthy food items,,,https://www.google.co.in/search?sca_esv=561590507&hl=en&gl=in&q=Instant+healthy+food+items&sa=X&ved=2ahUKEwisyaqGzoaBAxW4ElkFHZ19B7E4ggEQ1QJ6BAg4EAE,https://serpapi.com/search.json?device=desktop&engine=google&gl=in&google_domain=google.co.in&hl=en&location=Maharashtra%2C+India&q=Instant+healthy+food+items&start=130,,,,,,,,
related_searches,,,,,,,,,,,,,,,,,1,,,haldiram instant food,,,https://www.google.co.in/search?sca_esv=561590507&hl=en&gl=in&q=Haldiram+Instant+food&sa=X&ved=2ahUKEwisyaqGzoaBAxW4ElkFHZ19B7E4ggEQ1QJ6BAg1EAE,https://serpapi.com/search.json?device=desktop&engine=google&gl=in&google_domain=google.co.in&hl=en&location=Maharashtra%2C+India&q=Haldiram+Instant+food&start=130,,,,,,,,
related_searches,,,,,,,,,,,,,,,,,1,,,instant food packets in india,,,https://www.google.co.in/search?sca_esv=561590507&hl=en&gl=in&q=Instant+Food+packets+in+India&sa=X&ved=2ahUKEwisyaqGzoaBAxW4ElkFHZ19B7E4ggEQ1QJ6BAg2EAE,https://serpapi.com/search.json?device=desktop&engine=google&gl=in&google_domain=google.co.in&hl=en&location=Maharashtra%2C+India&q=Instant+Food+packets+in+India&start=130,,,,,,,,
metadata,64f060cbd737d736346c5935,Success,https://serpapi.com/searches/4221a009e4a76beb/64f060cbd737d736346c5935.json,2023-08-31 09:43:39 UTC,,https://www.google.co.in/search?q=instant+food+online&oq=instant+food+online&uule=w+CAIQICIRTWFoYXJhc2h0cmEsSW5kaWE&hl=en&gl=in&start=140&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/4221a009e4a76beb/64f060cbd737d736346c5935.html,0.84,,,,,,,,,,,,,,,,,,,,,,,,
search_parameters,,,,,,,,,google,instant food online,"Maharashtra, India","Maharashtra,India",google.co.in,desktop,en,in,,,,,,,,,,,,,,,,
organic,,,,,,,,,,,,,,,,,,1,Save-On-Foods: Online Grocery Shopping with Delivery ...,,,,https://www.saveonfoods.com/,,,,https://www.saveonfoods.com,,https://serpapi.com/searches/64f060cbd737d736346c5935/images/3d2b6a5235953c081ff79fadac61e08559652b78176cf39e10ec75e9f845df35.png,Save-On-Foods is Western Canada's online grocery store. Our temperature controlled vans will deliver to your door. Order groceries for delivery or curbside ...,,Save-On-Foods
