,,
RGB CODE,OCR_Not readable,Yes
"(239, 212, 72) (254, 254, 253) (158, 97, 59) (176, 162, 146) (58, 50, 56)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/ce4abae8322bb47cd32be70a2399fd8de1a3c8b112c4e6be4dc10c9470d47e45.webp,-
"(212, 190, 69) (248, 248, 242) (81, 49, 40) (199, 215, 139) (153, 141, 49)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/ce4abae8322bb47cd32be70a2399fd8d9b0c701973d74f37bd7022318935365a.webp,-
"(32, 101, 59) (240, 240, 239) (183, 166, 143) (50, 30, 21) (128, 103, 73)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTkdjcjK1LmBVjeezo32qOHokgixQaYLrVi7taa_Juy8JhkH5xLxJiho9LEYHE3tvPff4F1luQ8FG9ZvNQd6imX0DCtBXg-B8dSbBKEPsTVvQqi5AvLH7Lb,-
"(253, 252, 249) (146, 107, 58) (187, 168, 91) (78, 48, 40) (209, 213, 159)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSKJBUzCBVAmKOl1_QoXIFv9etT5wVQU_l6R3eJUbyYHXKonxMzDzhvdA-_-eppKd37DmG6tIiOTal3NSWGGv3xWj_uYfl3AlX0xjqv_HHJCmFlbkrQmqMe5g,-
"(101, 148, 58) (228, 221, 178) (27, 22, 15) (172, 150, 109) (98, 81, 60)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQvdWt-l9GvrdRNkA_rrWMx8sXBqiUGLFA9FdsX06TXk1k7iEs5DE9STQPeKQsg3IsCMzGE7GVus3jb1BOkWs__U7O0jZoyfTxKKc-K6sAk8HtbPWpcby6kqg,-
"(197, 213, 149) (79, 45, 41) (253, 253, 251) (150, 97, 51) (190, 158, 80)",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSQhvFvTyiGVRCclqnTY6o8FVk_6yt_CwO_I4BvJ-qIWMc41_yB7hn4IFRjHR9xLj1Kt1BzS-xe4Due9CiKLXKMCyfo508i-o0iBluLpMCH7rPiXFjEw7-h7g,-
"(177, 55, 57) (240, 241, 241) (35, 56, 51) (199, 166, 131) (91, 132, 72)",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSPHnU6daMoL2SssQe5solEwvJzleQiEPm_f3hpsNr-oDKSdgsZsOr13da3zYfbEcy78UaP6904mqqAdsP6F-exGytckkg4J1Zbsru26RGrZbxVI-yZU7ZX,-
"(221, 193, 166) (254, 253, 251) (91, 48, 43) (166, 111, 53) (222, 165, 86)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ9zYRx4I6XVMM0fo4xaEh9oWCEZytX8DI4Xk8aanVlsFyOM98dRSsaukBUtb1XbuzsmxZF4AdGrGwMrmnZQ0qPt0MVfOb0G1LnjXFfZByEDoqLb122v-tK,-
"(92, 138, 157) (246, 229, 23) (247, 249, 240) (181, 75, 35) (219, 181, 118)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRQQL0P9iB7qI8Rrd-CUH8y1BuDIM-TDRPnoHdcBBLUiQrgl9LZvRx240U1YlfHz9ZkamDlS211Mb2ZC8cKr8xw40EK5_ArxSM7REqRbg,-
"(108, 184, 53) (250, 251, 249) (93, 97, 50) (181, 167, 128) (10, 70, 122)",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRW1dM_JFP2JeErL7Ro3C5FpsPiNcb5TLWUPPEfKstO9OpT2-NN5Oi_CLah4FY_4iEvkLft5L72XUYTtuUBwOG7VZGH5tgu-LvGlxoXMro0z_XDIceh_rvS,-
"(74, 112, 65) (222, 203, 111) (199, 73, 40) (237, 215, 25) (246, 244, 217)",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRqHkHlmyPdzrxwDK903Bn9MzbFAEmnh5TZO-eprakKzkmYl-ckwfT2udCFp0RuXuk2KTEgs5CTaB1ZI3-UuL3rVSkGyRUO5oKVpgfnzYc,-
"(161, 146, 145) (251, 250, 250) (14, 39, 86) (200, 186, 185) (159, 99, 62)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRVDCSKir1XgdfGtsXkeN3XembpJavwJg2JMPbH3qKQLfdxY2UYd8lEGQ88BHuBRzK6ZvIFUkBh-e613O-KsOZR3po9jnqYCpMTBA5DBt4ulPcStfhq9QTINg,-
"(254, 252, 251) (192, 130, 84) (207, 57, 47) (228, 180, 148) (147, 47, 34)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQij9IhI3IUzfVBIW2sLwoZchC9ANdZg28s6qY0clTlR8lvLOyyViLGsmZmUBjf1XxczriHFGVhaMweNu65P3HxpJ_qH8wIemoLL2rpT-jAj_FsZ9VgDpSz,-
"(252, 254, 251) (35, 102, 23) (186, 133, 52) (91, 143, 60) (184, 188, 132)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR3ENYzqpf9CprQbBMmdlY-8vL0zZccA96VpkohTfHFPoLiZbEoMR1eoSvoKYsvfexx1SFbhq-Y3bKxh4-fmcVZsusK4BkP6sh0A_FV2L2zkAAYt5eAvNOQow,-
"(190, 160, 73) (249, 248, 245) (81, 45, 43) (192, 218, 138) (155, 95, 47)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRvmuBSUPA0IqLL723OIoQxM8zds_OqMGs30kYtccwXqtCVyBdzWcar1TkAKV8GuuPcXKWQ2IX2edCqarckDmc-6H1NmTSPGm1obTzl-k6SJrmLWQuib3bbVA,-
"(151, 97, 31) (254, 252, 250) (236, 131, 36) (217, 33, 60) (241, 166, 141)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRZ9vjjzYk9QO-JFAc-yvVoI4vFGVkjshDHGMwJ9fEIwp8YA-c8dF-DS33O5ultnWJZE23w0XFUSi06zn_o5eUvhMsejsCFXdatdd1XIA69,-
"(212, 202, 164) (209, 173, 52) (148, 150, 135) (132, 61, 26) (241, 240, 233)",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTuGF8GsDa5DsvlJKcc9BSKG6wfLz6u6UQan3HAnGjVhTRXdPzQdbCfGwu9VGp9uxxzc3QiLjp7j27zK3UtiiPWxcCjeXsWgzWYfbotbN0,-
"(246, 252, 243) (103, 129, 74) (218, 169, 101) (39, 71, 39) (168, 191, 144)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ00ytEEU2t6t4W1tE0D2qSXZ4XZ3b-e4wHKDK3j6CGh-pMQqZy_VNtwiL533C7ejGB8xCp_TghPNXaGTRssn8Q_y1crAM4Tj5d1BVUDBTCdFGNTkgCnpO3,-
"(223, 11, 33) (224, 208, 164) (166, 187, 51) (232, 79, 87) (246, 240, 222)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSxM8pdSoss-RsygVFqAZJymY9KEH2v6wULnS9ZVLcrGGu-KvqpI82sgWmTvFkqL4I1K1GsI-kIldNVyME5_1DsZ8TBS3SsQCCevKqqCg,-
"(163, 113, 101) (253, 251, 251) (91, 46, 54) (213, 119, 187) (213, 178, 146)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS1NSjZyYa7KAsCZOuBU6LoqbITFkrHoQJEsq1CqXZB0e22iC_qG4bxk36WdNHNxmCgRfV4XhbOPJOq-z6dL58_G_Uw1vAXu0e3xATZMSYwyVSWxr0OJYab,-
"(148, 110, 97) (240, 242, 242) (108, 58, 38) (193, 179, 180) (53, 28, 19)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQwT-B4kyQ2N9etm4eU8P7LTKyAurD6HrRBTXZZFoZqkzXrkzqxWf6aA4baj0Fo91HzrIIH-4OB4hhvnL0SSIN_S-s2uvq2vSTOLkhp9wTEaR7xmRFYNBn55g,-
"(202, 64, 52) (126, 188, 148) (40, 145, 81) (251, 251, 249) (233, 171, 123)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/46dd9ff7076ad344d1a672d599769bab97bf15082202df1eb2094123ee76e0de.webp,-
"(91, 47, 48) (252, 249, 246) (216, 160, 86) (212, 165, 168) (161, 101, 71)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/46dd9ff7076ad344d1a672d599769babacfa66b294f20e28b4d9123438bd0e3e.webp,-
"(228, 229, 225) (124, 94, 57) (253, 253, 253) (178, 156, 126) (31, 68, 34)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/46dd9ff7076ad344d1a672d599769bab7b1a58d226819397090c64e66d884d0f.webp,-
"(254, 254, 253) (158, 97, 59) (239, 212, 72) (58, 50, 56) (176, 162, 146)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/46dd9ff7076ad344d1a672d599769bab92fb84cde26c4b448915b9abe74bee21.webp,-
"(153, 141, 49) (248, 248, 242) (213, 191, 69) (81, 49, 40) (199, 215, 138)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/46dd9ff7076ad344d1a672d599769baba52c346faf59da3eb2f9925cf6f62135.webp,-
"(240, 240, 239) (32, 101, 59) (128, 103, 73) (183, 166, 143) (50, 30, 20)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTkdjcjK1LmBVjeezo32qOHokgixQaYLrVi7taa_Juy8JhkH5xLxJiho9LEYHE3tvPff4F1luQ8FG9ZvNQd6imX0DCtBXg-B8dSbBKEPsTVvQqi5AvLH7Lb,-
"(253, 252, 249) (146, 108, 58) (209, 213, 159) (78, 48, 40) (187, 169, 92)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSKJBUzCBVAmKOl1_QoXIFv9etT5wVQU_l6R3eJUbyYHXKonxMzDzhvdA-_-eppKd37DmG6tIiOTal3NSWGGv3xWj_uYfl3AlX0xjqv_HHJCmFlbkrQmqMe5g,-
"(172, 150, 109) (98, 81, 60) (228, 221, 178) (27, 22, 15) (101, 148, 58)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQvdWt-l9GvrdRNkA_rrWMx8sXBqiUGLFA9FdsX06TXk1k7iEs5DE9STQPeKQsg3IsCMzGE7GVus3jb1BOkWs__U7O0jZoyfTxKKc-K6sAk8HtbPWpcby6kqg,-
"(197, 213, 149) (253, 253, 251) (79, 45, 41) (150, 97, 51) (190, 157, 79)",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSQhvFvTyiGVRCclqnTY6o8FVk_6yt_CwO_I4BvJ-qIWMc41_yB7hn4IFRjHR9xLj1Kt1BzS-xe4Due9CiKLXKMCyfo508i-o0iBluLpMCH7rPiXFjEw7-h7g,-
"(177, 55, 57) (240, 241, 241) (91, 132, 72) (199, 166, 131) (35, 56, 51)",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSPHnU6daMoL2SssQe5solEwvJzleQiEPm_f3hpsNr-oDKSdgsZsOr13da3zYfbEcy78UaP6904mqqAdsP6F-exGytckkg4J1Zbsru26RGrZbxVI-yZU7ZX,-
"(166, 111, 53) (254, 253, 251) (221, 193, 166) (91, 48, 43) (222, 165, 86)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ9zYRx4I6XVMM0fo4xaEh9oWCEZytX8DI4Xk8aanVlsFyOM98dRSsaukBUtb1XbuzsmxZF4AdGrGwMrmnZQ0qPt0MVfOb0G1LnjXFfZByEDoqLb122v-tK,-
"(247, 249, 240) (246, 229, 23) (95, 138, 155) (219, 181, 118) (181, 75, 35)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRQQL0P9iB7qI8Rrd-CUH8y1BuDIM-TDRPnoHdcBBLUiQrgl9LZvRx240U1YlfHz9ZkamDlS211Mb2ZC8cKr8xw40EK5_ArxSM7REqRbg,-
"(181, 167, 128) (10, 70, 122) (108, 184, 53) (250, 251, 249) (93, 97, 50)",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRW1dM_JFP2JeErL7Ro3C5FpsPiNcb5TLWUPPEfKstO9OpT2-NN5Oi_CLah4FY_4iEvkLft5L72XUYTtuUBwOG7VZGH5tgu-LvGlxoXMro0z_XDIceh_rvS,-
"(75, 112, 65) (199, 73, 40) (222, 203, 110) (245, 244, 217) (237, 215, 25)",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRqHkHlmyPdzrxwDK903Bn9MzbFAEmnh5TZO-eprakKzkmYl-ckwfT2udCFp0RuXuk2KTEgs5CTaB1ZI3-UuL3rVSkGyRUO5oKVpgfnzYc,-
"(251, 250, 250) (161, 146, 145) (14, 39, 86) (200, 186, 185) (159, 99, 62)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRVDCSKir1XgdfGtsXkeN3XembpJavwJg2JMPbH3qKQLfdxY2UYd8lEGQ88BHuBRzK6ZvIFUkBh-e613O-KsOZR3po9jnqYCpMTBA5DBt4ulPcStfhq9QTINg,-
"(254, 252, 251) (207, 57, 47) (228, 179, 147) (147, 47, 34) (192, 129, 84)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQij9IhI3IUzfVBIW2sLwoZchC9ANdZg28s6qY0clTlR8lvLOyyViLGsmZmUBjf1XxczriHFGVhaMweNu65P3HxpJ_qH8wIemoLL2rpT-jAj_FsZ9VgDpSz,-
"(252, 254, 251) (35, 102, 23) (186, 133, 52) (93, 143, 61) (185, 188, 132)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR3ENYzqpf9CprQbBMmdlY-8vL0zZccA96VpkohTfHFPoLiZbEoMR1eoSvoKYsvfexx1SFbhq-Y3bKxh4-fmcVZsusK4BkP6sh0A_FV2L2zkAAYt5eAvNOQow,-
"(191, 161, 73) (249, 248, 245) (155, 96, 48) (81, 45, 43) (191, 218, 138)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRvmuBSUPA0IqLL723OIoQxM8zds_OqMGs30kYtccwXqtCVyBdzWcar1TkAKV8GuuPcXKWQ2IX2edCqarckDmc-6H1NmTSPGm1obTzl-k6SJrmLWQuib3bbVA,-
"(151, 97, 31) (254, 252, 250) (236, 131, 36) (241, 166, 141) (217, 33, 60)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRZ9vjjzYk9QO-JFAc-yvVoI4vFGVkjshDHGMwJ9fEIwp8YA-c8dF-DS33O5ultnWJZE23w0XFUSi06zn_o5eUvhMsejsCFXdatdd1XIA69,-
"(132, 61, 26) (241, 240, 232) (209, 173, 52) (212, 202, 163) (148, 150, 135)",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTuGF8GsDa5DsvlJKcc9BSKG6wfLz6u6UQan3HAnGjVhTRXdPzQdbCfGwu9VGp9uxxzc3QiLjp7j27zK3UtiiPWxcCjeXsWgzWYfbotbN0,-
"(102, 128, 73) (246, 251, 243) (39, 70, 39) (219, 169, 102) (167, 190, 143)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ00ytEEU2t6t4W1tE0D2qSXZ4XZ3b-e4wHKDK3j6CGh-pMQqZy_VNtwiL533C7ejGB8xCp_TghPNXaGTRssn8Q_y1crAM4Tj5d1BVUDBTCdFGNTkgCnpO3,-
"(224, 208, 165) (223, 11, 33) (166, 188, 51) (247, 240, 222) (232, 79, 87)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSxM8pdSoss-RsygVFqAZJymY9KEH2v6wULnS9ZVLcrGGu-KvqpI82sgWmTvFkqL4I1K1GsI-kIldNVyME5_1DsZ8TBS3SsQCCevKqqCg,-
"(91, 46, 54) (253, 251, 251) (163, 113, 101) (213, 119, 186) (213, 178, 147)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS1NSjZyYa7KAsCZOuBU6LoqbITFkrHoQJEsq1CqXZB0e22iC_qG4bxk36WdNHNxmCgRfV4XhbOPJOq-z6dL58_G_Uw1vAXu0e3xATZMSYwyVSWxr0OJYab,-
"(240, 242, 242) (109, 59, 38) (54, 28, 19) (193, 180, 181) (148, 110, 98)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQwT-B4kyQ2N9etm4eU8P7LTKyAurD6HrRBTXZZFoZqkzXrkzqxWf6aA4baj0Fo91HzrIIH-4OB4hhvnL0SSIN_S-s2uvq2vSTOLkhp9wTEaR7xmRFYNBn55g,-
"(163, 153, 107) (253, 254, 253) (17, 96, 74) (100, 100, 57) (192, 195, 170)",https://serpapi.com/searches/64f0608ffa867545b3741b9d/images/e15c5baff713720d97055b616dbaf160daa423cd8d6384c06ab9e934666eb993.jpeg,-
"(94, 112, 138) (253, 253, 253) (232, 208, 37) (193, 186, 161) (190, 115, 33)",https://serpapi.com/searches/64f0608ffa867545b3741b9d/images/e15c5baff713720d97055b616dbaf1605d5e5d40187170f015d23e96f4707d93.jpeg,-
"(243, 211, 27) (202, 165, 108) (169, 135, 53) (98, 64, 18) (250, 243, 224)",https://serpapi.com/searches/64f0608ffa867545b3741b9d/images/e15c5baff713720d97055b616dbaf160631d2814de0540cbd217f8e7f94753a0.jpeg,-
"(211, 168, 182) (202, 21, 129) (251, 249, 250) (61, 55, 36) (141, 115, 97)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIZcuWMci328m_A8Cpn2_tfsFjWUqiw65PCMwV9L_-aDqMnesY8L-z&usqp=CAE&s,-
